instance,tree_file,inference_time_seconds
G_l_1024_n_50_0_0.01_0.phy,G_l_1024_n_50_0_0.01_0.tre,251.021105
G_l_1024_n_50_0_0.01_111.phy,G_l_1024_n_50_0_0.01_111.tre,252.411268
G_l_1024_n_50_0_0.01_113.phy,G_l_1024_n_50_0_0.01_113.tre,233.629725
G_l_1024_n_50_0_0.01_114.phy,G_l_1024_n_50_0_0.01_114.tre,252.219741
G_l_1024_n_50_0_0.01_119.phy,G_l_1024_n_50_0_0.01_119.tre,233.152479
G_l_1024_n_50_0_0.01_125.phy,G_l_1024_n_50_0_0.01_125.tre,252.564554
G_l_1024_n_50_0_0.01_127.phy,G_l_1024_n_50_0_0.01_127.tre,240.270964
G_l_1024_n_50_0_0.01_14.phy,G_l_1024_n_50_0_0.01_14.tre,239.704437
G_l_1024_n_50_0_0.01_17.phy,G_l_1024_n_50_0_0.01_17.tre,205.028826
G_l_1024_n_50_0_0.01_18.phy,G_l_1024_n_50_0_0.01_18.tre,224.399590
G_l_1024_n_50_0_0.01_19.phy,G_l_1024_n_50_0_0.01_19.tre,216.514755
G_l_1024_n_50_0_0.01_20.phy,G_l_1024_n_50_0_0.01_20.tre,227.609785
G_l_1024_n_50_0_0.01_32.phy,G_l_1024_n_50_0_0.01_32.tre,244.507418
G_l_1024_n_50_0_0.01_41.phy,G_l_1024_n_50_0_0.01_41.tre,215.534980
G_l_1024_n_50_0_0.01_47.phy,G_l_1024_n_50_0_0.01_47.tre,235.102422
G_l_1024_n_50_0_0.01_49.phy,G_l_1024_n_50_0_0.01_49.tre,245.648352
G_l_1024_n_50_0_0.01_57.phy,G_l_1024_n_50_0_0.01_57.tre,223.481864
G_l_1024_n_50_0_0.01_60.phy,G_l_1024_n_50_0_0.01_60.tre,218.325771
G_l_1024_n_50_0_0.01_63.phy,G_l_1024_n_50_0_0.01_63.tre,227.045568
G_l_1024_n_50_0_0.01_68.phy,G_l_1024_n_50_0_0.01_68.tre,245.515558
G_l_1024_n_50_0_0.01_69.phy,G_l_1024_n_50_0_0.01_69.tre,256.725672
G_l_1024_n_50_0_0.01_75.phy,G_l_1024_n_50_0_0.01_75.tre,205.888796
G_l_1024_n_50_0_0.01_78.phy,G_l_1024_n_50_0_0.01_78.tre,218.772497
G_l_1024_n_50_0_0.01_92.phy,G_l_1024_n_50_0_0.01_92.tre,236.214156
G_l_1024_n_50_0_0.01_97.phy,G_l_1024_n_50_0_0.01_97.tre,241.553723
G_l_1024_n_50_0_0.02_102.phy,G_l_1024_n_50_0_0.02_102.tre,244.963250
G_l_1024_n_50_0_0.02_105.phy,G_l_1024_n_50_0_0.02_105.tre,246.839610
G_l_1024_n_50_0_0.02_11.phy,G_l_1024_n_50_0_0.02_11.tre,254.962373
G_l_1024_n_50_0_0.02_112.phy,G_l_1024_n_50_0_0.02_112.tre,235.308087
G_l_1024_n_50_0_0.02_118.phy,G_l_1024_n_50_0_0.02_118.tre,222.905477
G_l_1024_n_50_0_0.02_120.phy,G_l_1024_n_50_0_0.02_120.tre,260.054922
G_l_1024_n_50_0_0.02_123.phy,G_l_1024_n_50_0_0.02_123.tre,251.465344
G_l_1024_n_50_0_0.02_126.phy,G_l_1024_n_50_0_0.02_126.tre,225.798767
G_l_1024_n_50_0_0.02_16.phy,G_l_1024_n_50_0_0.02_16.tre,249.690999
G_l_1024_n_50_0_0.02_21.phy,G_l_1024_n_50_0_0.02_21.tre,242.657272
G_l_1024_n_50_0_0.02_24.phy,G_l_1024_n_50_0_0.02_24.tre,194.665787
G_l_1024_n_50_0_0.02_26.phy,G_l_1024_n_50_0_0.02_26.tre,234.804632
G_l_1024_n_50_0_0.02_4.phy,G_l_1024_n_50_0_0.02_4.tre,241.033424
G_l_1024_n_50_0_0.02_42.phy,G_l_1024_n_50_0_0.02_42.tre,222.218118
G_l_1024_n_50_0_0.02_44.phy,G_l_1024_n_50_0_0.02_44.tre,228.355894
